X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1884733,5773798,19693,,540410,0,0,0,1,0,Null,2009/2010,ERUERA ST,AMOHIA ST,,Non-Injury Crash,No,2009,0,East,0,0,0,Flat,0,,0,,0,Dark,1234500,0,0,0,2,0,1,0,0,0,,0,0,Bay of Plenty Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,24,Rotorua District,Give way,1,0,0,0,0,0,Urban,0,0,0,Fine,Null
1764929,5910793,19694,,521803,0,,0,5,,Null,2009/2010,SH 1N,OTAHUHU OFF SBD,,Non-Injury Crash,Yes,2009,,South,,0,,Hill Road,,,,,,Bright sun,789700,0,0,0,3,,,0,,,,,,Auckland Region,Nil,1-way,Sealed,,0,0,,100,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Open,0,,,Fine,Null
1742701,5921628,19695,,513631,1,,1,0,,North,2009/2010,DON BUCK ROAD,DONOVAN AVENUE,,Non-Injury Crash,No,2009,,North,,0,,Flat,,,,,,Bright sun,227101,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,1,0,,50,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1803224,5815695,19696,,530500,0,0,0,1,0,Null,2009/2010,CAMERON ROAD,OLD FARM ROAD,,Non-Injury Crash,No,2009,0,West,0,0,0,Flat,0,,0,,1,Overcast,889600,0,0,0,2,0,0,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,50,0,Null,0,0,,16,Hamilton City,Give way,0,0,0,0,0,0,Urban,0,0,0,Heavy rain,Null
1605692,5433426,19697,65,581836,0,,0,2,,West,2008/2009,SH 60,DOMINION ROAD,,Non-Injury Crash,Yes,2009,,North,,0,,Hill Road,,,,,,Overcast,2351200,0,0,0,2,,,0,,,,,,Tasman Region,Nil,2-way,Sealed,,0,0,,100,,Null,1,0,,51,Tasman District,Nil,,,,,0,0,Open,0,,,Light rain,Null
1863516,5711617,19698,,541311,0,,0,1,,South,2009/2010,WAKEMAN ROAD,BESLEY PLACE,,Non-Injury Crash,No,2009,,North,,0,,Hill Road,,,,,,Overcast,1279404,0,0,0,2,,,0,,,,,,Waikato Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,21,Taupo District,Unknown,,,,,0,0,Urban,0,,,Light rain,Null
1769943,5909844,19699,,523114,0,,0,2,,Null,2009/2010,TE IRIRANGI DRIVE,SMALES ROAD,,Non-Injury Crash,No,2009,,South,,0,,Flat,,,,,,Bright sun,711804,0,0,0,5,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,80,,Off,0,0,,76,Auckland,Give way,,,,,0,0,Open,0,,,Fine,Null
1799819,5816504,19700,,529700,0,,0,2,,East,2009/2010,ULSTER ST,RICHMOND ST,,Non-Injury Crash,No,2009,,West,,0,,Flat,,,,,,Overcast,908900,0,0,0,4,,,0,,,,,,Waikato Region,Nil,2-way,Sealed,,0,0,,60,,Null,0,0,,16,Hamilton City,Unknown,,,,,0,0,Urban,0,,,Fine,Null
1757262,5918872,19701,,514301,0,0,0,1,0,Null,2009/2010,WELLESLEY OFF NBD,SYMONDS OFF NBD,,Non-Injury Crash,Yes,2009,0,North,0,0,0,Flat,1,,0,,0,Dark,441600,0,0,0,3,0,0,0,0,0,,0,0,Auckland Region,Motorway ramp,1-way,Sealed,0,0,0,0,80,0,On,0,0,,76,Auckland,Nil,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1748463,5426678,19702,,573300,0,,0,2,,Null,2008/2009,WEBB ST,CUBA ST,,Non-Injury Crash,No,2009,,East,,0,,Flat,,,,,,Overcast,2144102,0,0,0,2,,,0,,,,,,Wellington Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,47,Wellington City,Give way,,,,,0,0,Urban,0,,,Fine,Null
